clusters,db_record_1,db_record_2,db_record_3,db_record_4,db_record_5,score_record_1,score_record_2,score_record_3,score_record_4,score_record_5
132,paneth cell intestinal crypt mouse,microglial cell brain mouse,enteroendocrine precursor cell intestinal crypt mouse,gonadal endothelial cell fetal gonad human,plasmacytoid dendritic cell spleen mouse,8.98665313134389,8.73056964083246,8.64602940335553,8.56761418860095,8.50952625621385
133,slc16a7+ cell lung human,paneth cell intestinal crypt mouse,neuron brain mouse,plasmacytoid dendritic cell spleen mouse,multilymphoid progenitor cell umbilical cord blood human,8.9922240295933,8.75599314238342,8.63458350078311,8.54559626878231,8.52724881154654
134,paneth cell intestinal crypt mouse,enteroendocrine precursor cell intestinal crypt mouse,microglial cell brain mouse,plasmacytoid dendritic cell spleen mouse,schwalie et al.nature.g2 adipose tissue mouse,9.08055007296096,8.71722220608092,8.71234989976069,8.55051455568905,8.46058969302244
135,cycling basal cell trachea mouse,multilymphoid progenitor cell umbilical cord blood human,neural progenitor cell embryonic prefrontal cortex human,neuron brain mouse,gonadal endothelial cell fetal gonad human,9.92316009492917,8.77890918056548,8.75549134107376,8.75121670506746,8.73145616484965
136,paneth cell intestinal crypt mouse,multilymphoid progenitor cell umbilical cord blood human,enteroendocrine precursor cell intestinal crypt mouse,monocyte fetal kidney human,plasmacytoid dendritic cell spleen mouse,9.06254363912116,8.9992994164202,8.86586118266274,8.75219688485095,8.64034609134008
137,paneth cell intestinal crypt mouse,monocyte fetal kidney human,enteroendocrine precursor cell intestinal crypt mouse,podocyte kidney mouse,schwalie et al.nature.g2 adipose tissue mouse,9.57726199677847,9.55047767829692,9.38707993743465,9.2480971662802,9.23293811963322
138,cycling basal cell trachea mouse,paneth cell intestinal crypt mouse,gonadal endothelial cell fetal gonad human,neural progenitor cell embryonic prefrontal cortex human,neuron brain mouse,9.4618222067831,8.61943887768606,8.53876131434436,8.53837782596755,8.39608670369046
139,mitotic fetal germ cell fetal gonad human,monocyte fetal kidney human,paneth cell intestinal crypt mouse,cycling basal cell trachea mouse,enteroendocrine precursor cell intestinal crypt mouse,9.05369965343655,8.78198409642271,8.63262183624963,8.60997716568753,8.51517472679997
140,paneth cell intestinal crypt mouse,mitotic fetal germ cell fetal gonad human,enteroendocrine precursor cell intestinal crypt mouse,monocyte fetal kidney human,regulatory t (treg) cell liver human,9.14907793889197,9.04181553328027,9.02086006041781,8.9258842358151,8.89589498922672
141,paneth cell intestinal crypt mouse,mitotic fetal germ cell fetal gonad human,enteroendocrine precursor cell intestinal crypt mouse,plasmacytoid dendritic cell spleen mouse,regulatory t (treg) cell liver human,9.51785205482778,9.32681400390923,9.22192573224094,9.09267798059535,8.94379488391389
142,paneth cell intestinal crypt mouse,microglial cell brain mouse,enteroendocrine precursor cell intestinal crypt mouse,plasmacytoid dendritic cell spleen mouse,multilymphoid progenitor cell umbilical cord blood human,8.96694464815551,8.74190241431379,8.56071781492123,8.53343906030748,8.51979015921271
143,paneth cell intestinal crypt mouse,mitotic fetal germ cell fetal gonad human,enteroendocrine precursor cell intestinal crypt mouse,leydig precursor cell fetal gonad human,plasmacytoid dendritic cell spleen mouse,9.30438814393746,9.17094427416218,9.05896314304793,8.85953367601366,8.82690723604986
144,gonadal endothelial cell fetal gonad human,vascular endothelial cell kidney mouse,mesangial cell kidney mouse,endothelial cell lung mouse,microglial cell brain mouse,9.31470070597211,9.1962571344124,8.72440380066348,8.51117819268051,8.47805159559461
145,paneth cell intestinal crypt mouse,enteroendocrine precursor cell intestinal crypt mouse,leydig precursor cell fetal gonad human,gonadal endothelial cell fetal gonad human,schwalie et al.nature.g2 adipose tissue mouse,8.8670141244355,8.64966176932499,8.5247972707452,8.50980216049903,8.45534172257138
146,gonadal endothelial cell fetal gonad human,mesangial cell kidney mouse,microglial cell brain mouse,schwalie et al.nature.g2 adipose tissue mouse,paneth cell intestinal crypt mouse,8.22594762640253,8.15480062832068,8.1445600263556,8.08650461031497,8.02651894437756
147,paneth cell intestinal crypt mouse,enteroendocrine precursor cell intestinal crypt mouse,gonadal endothelial cell fetal gonad human,plasmacytoid dendritic cell spleen mouse,medullary cell kidney mouse,8.80375449698136,8.52528861296959,8.48103201012726,8.34795653607944,8.32643904978974
148,microglial cell brain mouse,microglial cell embryonic prefrontal cortex human,monocyte fetal kidney human,cycling basal cell trachea mouse,cd1c-cd141- dendritic cell blood human,9.91696505481482,9.27773674612021,9.17900883145523,8.98773341253011,8.80464289243295
149,cycling basal cell trachea mouse,paneth cell intestinal crypt mouse,gonadal endothelial cell fetal gonad human,multilymphoid progenitor cell umbilical cord blood human,plasmacytoid dendritic cell spleen mouse,10.0218548133367,9.11941851209079,9.0002092701946,8.92020604246058,8.84053805612585
150,microglial cell brain mouse,monocyte fetal kidney human,microglial cell embryonic prefrontal cortex human,paneth cell large intestine human,cd1c-cd141- dendritic cell blood human,9.5879164008643,9.27052311186746,9.15376608905,8.69503171563286,8.61985165018867
151,microglial cell brain mouse,microglial cell embryonic prefrontal cortex human,monocyte fetal kidney human,paneth cell large intestine human,macrophage kidney mouse,9.7051719939359,9.28518973938289,8.90663405923679,8.64247987445953,8.52943159817326
